Dataset;Model;Value;Error
CASP12;ProtT5*;0,822997808;0,045288086
NEW364;ProtT5*;0,846904755;0,008934021
CASP12;ProtT5 LoRA;0,82755712;0,009969408
NEW364;ProtT5 LoRA;0,852966025;0,002554784
CASP12;ProstT5*;0,848862588;0
NEW364;ProstT5*;0,871335983;0,009780884
CASP12;ProstT5 LoRA;0,86093975;0,00947389
NEW364;ProstT5 LoRA;0,874041424;0,002429035
