ESM2 150M finetuned,SETH-LoRA
0.7085800018045533,0.7674753262058097
0.7307445466074953,0.7296660510534579
0.7618580251659735,0.7937293175560021
0.7351457265506189,0.7331359882233294
0.7460152232943636,0.7577068098787006
0.7123664612610405,0.7198556266474655
0.7597840819030607,0.7157214806969584
0.7375483996634549,0.7609858298368203
0.762093175233081,0.7442757174390346
0.7154977353820475,0.6870609436658858
0.7738135594553025,0.7175380862853811
0.7235426504598543,0.716757117198785
0.7760866967409337,0.7345836868146395
0.7568622504256106,0.7567836673589484
0.7519682471965734,0.7527037996455581
0.6896400328008911,0.7356394864553741
0.7567621489150779,0.7655641336951009
0.7594692341824495,0.7255136062278175
0.6994543955762661,0.7258660156180955
0.7430801197397789,0.7320321446057191
0.7655922911423452,0.6744492453306632
0.7527880988633824,0.6939402131345879
0.7900765154414576,0.729259310244382
0.7297124467852005,0.7185184333168296
0.7426054731752575,0.7814429842012217
0.7669184951263226,0.7052838668008284
0.7134954793630925,0.7652361753437178
0.7250531230176698,0.7004475476248692
0.7545343479880112,0.7895802453209445
0.7288385060415971,0.7770284291488816
0.6962648865541192,0.7196015261546993
0.7630949121643509,0.7212160388171975
0.7385117590043475,0.7486200085481711
0.743358264894805,0.7388813585041775
0.7672467748752709,0.6802096682393203
0.7422088445736518,0.6971840519996636
0.7601479800914007,0.7592041405139853
0.7733137699630157,0.7615572934914543
0.7930498412504865,0.7757836836780013
0.7690930425556235,0.6523637209266933
0.7271331599240524,0.6794898228687849
0.7550361012713409,0.790760081417446
0.7323794995881462,0.7690196292082211
0.7671728599707707,0.7950778727822568
0.6387339402514108,0.7470322086670086
0.7280026212356139,0.7130713617948835
0.7014276825375649,0.7305857563912106
0.7766039352361312,0.7345762786523476
0.7348635910939779,0.6821747897339444
0.7331583502121141,0.7819980233814667
