ProtT5 LoRA CASP12,ProtT5 LoRA NEW364,ProstT5 LoRA CASP12,ProstT5 LoRA NEW364
0.8316485940084544,0.851879787247877,0.8595566860465116,0.8702398464982412
0.834899546338302,0.8518518518518519,0.8485162896866569,0.8809740285409338
0.8269698021520305,0.84851594893058,0.8632580261593341,0.8739352866919141
0.8459133541759715,0.848516284371358,0.8422131147540983,0.8707992824397051
0.8178571428571428,0.8453878472439957,0.8803658081373646,0.8833379045529347
0.8126448893572181,0.8520189764702675,0.8428633784373636,0.8682033898305085
0.8362676056338029,0.860470948864428,0.8901472253680635,0.8753847187688999
0.829842032967033,0.8507310802849338,0.8511662347278786,0.8751270732080937
0.8202472952086554,0.8509955208036662,0.8823623049984082,0.8753077645506003
0.8029888828139238,0.8529244362532524,0.8746587242491933,0.873562359970127
