PEFT method,seed,value
LoRA,99,0.6424489795918367
LoRA,98,0.6542857142857142
LoRA,97,0.636326530612245
DoRA,99,0.6383673469387755
DoRA,98,0.6510204081632653
DoRA,97,0.6485714285714286
IA3,99,0.6351020408163265
IA3,98,0.6359183673469389
IA3,97,0.6302040816326531
Prefix tuning,99,0.6293877551020408
Prefix tuning,98,0.6208163265306123
Prefix tuning,97,0.6232653061224489
