Model,Params,Training,stab,fluor,aav,gb1,thermo,local,disorder,secstr,stab_error,fluor_error,aav_error,gb1_error,thermo_error,local_error,disorder_error,secstr_error
ESM2,651041056,Finetuning (all parameters),0.7427277584087476,0.6882297623886273,0.7833536110027659,0.8793589594941388,0.6638556968673192,0.638095238095238,0.7196336140526367,0.8552046065395774,0.04891131426594647,0.004014899375983357,0.025429558731567235,0.008672717079402465,0.014702072590655757,0.013131810402394842,0.004450155284599764,0.000257404237591093
ESM2,651041056,PEFT (LoRA),0.7994706533027561,0.694686264048101,0.8162788200119935,0.8821312063994419,0.6233879223911194,0.6393197278911564,0.7165723064597939,0.8537993271746676,0.009502342303702062,0.0008006795049825526,0.032493004221549764,0.007586920976419708,0.01916838383773261,0.005466666666666624,0.004648160662522091,0.00032859237803802336
